lat,lon,sub_area,area
23.871535361952166,90.38387216021925, Sector 12,Uttara
23.868296699999995,90.379095, Sector 12,Uttara
23.860046291733,90.404338843097, Sector 4,Uttara
23.878962841915122,90.38975942690172, Sector 11,Uttara
23.862241540002,90.400266433647, Sector 7,Uttara
23.871237348058006,90.395939793649, Sector 7,Uttara
23.849338021675894,90.37110448134285, Sector 17,Uttara
23.84961315035379,90.37111905718587, Sector 17,Uttara
23.84965729999999,90.36990839999997, Sector 17,Uttara
23.878035241425074,90.38825326058804, Sector 11,Uttara
23.87804994149225,90.38835647940886, Sector 11,Uttara
23.878172496667318,90.38852973693031, Sector 11,Uttara
23.878465479774412,90.38930612586756, Sector 11,Uttara
23.878607719401984,90.38929202213217, Sector 11,Uttara
23.876415,90.38261790000001, Sector 12,Uttara
23.87768148552763,90.39007612059174, Sector 11,Uttara
23.87768162505251,90.38994054778783, Sector 11,Uttara
23.875052499999995,90.38324280000002, Sector 12,Uttara
23.873777565714143,90.38405733975941, Shah Makhdum Avenue,Uttara
23.87792864561103,90.39005079070465, Sector 11,Uttara
23.874939100000002,90.38339329999998, Sector 12,Uttara
23.8780754196518,90.3898016117713, Sector 11,Uttara
23.87492920000001,90.38339480000002, Sector 12,Uttara
23.87377032221211,90.38407789819678, Sector 13,Uttara
23.87472929999997,90.38340629999999, Sector 12,Uttara
23.873771569802127,90.38406964232091, Sector 13,Uttara
23.877741679059888,90.38831805183736, Sector 11,Uttara
23.87433960000001,90.38347090000002, Sector 12,Uttara
23.873770465079268,90.38407965290162, Sector 13,Uttara
23.87432929999999,90.38348120000002, Sector 12,Uttara
23.87757663410412,90.38645430994956, Sector 11,Uttara
23.874844600000024,90.38223959999998, Sector 12,Uttara
23.872578282340225,90.38386373967268, Sector 12,Uttara
23.877596758612572,90.38617977971666, Sector 11,Uttara
23.87729162705519,90.38583385523066, Sector 11,Uttara
23.87230926835351,90.38402619407367, Sector 12,Uttara
23.87479809999998,90.38042869999998, Sector 12,Uttara
23.87234966346427,90.38401168463315, Sector 12,Uttara
23.87717563111365,90.38564175996123, Sector 11,Uttara
23.877140970603975,90.38645543335645, Sector 11,Uttara
23.870697063306167,90.38405431696987, Sector 12,Uttara
23.875193299999996,90.38086650000002, Sector 12,Uttara
23.87715562413769,90.38733772296746, Sector 11,Uttara
23.874372700000013,90.38031309999998, Sector 12,Uttara
23.877201638822058,90.38733281436225, Sector 11,Uttara
23.869165068067097,90.38387488798651, Sector 12,Uttara
23.87723808993396,90.387334293636, Sector 11,Uttara
23.869170362738817,90.38383640321365, Sector 12,Uttara
23.877209619848426,90.38822766203828, Sector 11,Uttara
23.87719421328772,90.3884186740699, Sector 11,Uttara
23.8742963,90.38004360000002, Sector 12,Uttara
23.869173604328623,90.38380570527215, Sector 12,Uttara
23.87735400317904,90.38881037704823, Sector 11,Uttara
23.874412499999995,90.37996479999997, Sector 12,Uttara
23.86910598023885,90.38389207331824, Sector 14,Uttara
23.8771726255008,90.3895623240453, Sector 11,Uttara
23.869087195051694,90.38389355851166, Sector 14,Uttara
23.87441000000001,90.37827889999998, Sector 12,Uttara
23.87676208987572,90.39021744704047, Sector 11,Uttara
23.874479499999993,90.37821880000001, Sector 12,Uttara
23.87445710000002,90.3782595, Sector 12,Uttara
23.876566523447025,90.39022044519288, Sector 11,Uttara
23.86939951857348,90.38391754823914, Sector 13,Uttara
23.87654921105676,90.39022119389557, Sector 11,Uttara
23.8744744,90.3781361, Sector 12,Uttara
23.86976141279703,90.38390121296192, Sector 12,Uttara
23.876234543856935,90.39020936391017, Sector 11,Uttara
23.869253579315632,90.38404246626692, Sector 14,Uttara
23.8746307,90.37790410000001, Sector 12,Uttara
23.87460080000002,90.37787460000006, Sector 12,Uttara
23.87614457840627,90.38984393962983, Sector 11,Uttara
23.8746226,90.37790480000001, Sector 12,Uttara
23.86797492945549,90.38388688838967, Shah Makhdum Avenue,Uttara
23.874582600000018,90.37787739999999, Sector 12,Uttara
23.87597366153677,90.38973458713144, Sector 11,Uttara
23.8745982,90.37788230000001, Sector 12,Uttara
23.86746869799507,90.38399435282291, Shah Makhdum Avenue,Uttara
23.874734600000007,90.3777953, Sector 12,Uttara
23.874768299999996,90.37777399999997, Sector 12,Uttara
23.87591476033052,90.38824886361971, Sector 11,Uttara
23.867045948104813,90.38505123460823, Sector 14,Uttara
23.867112293664988,90.38508056471824, Sector 14,Uttara
23.875938132346313,90.386907513018, Sector 11,Uttara
23.867055071071682,90.38521195284375, Sector 14,Uttara
23.875071000000005,90.37742469999999, Nolbhog,Uttara
23.875662575606125,90.38675399880384, Sector 11,Uttara
23.867612621403225,90.38563549745307, Sector 14,Uttara
23.867836989205948,90.38560825678718, Sector 14,Uttara
23.875672166120488,90.38631669361911, Sector 11,Uttara
23.873827599999984,90.37701950000009, Chondolbhog,Uttara
23.867980163711525,90.38562098767017, Sector 14,Uttara
23.87551578120988,90.38635277580312, Sector 11,Uttara
23.874038527656264,90.37678855387067, Chondolbhog,Uttara
23.868000690100786,90.38561495253435, Sector 14,Uttara
23.873718799999956,90.37663290000008, Chondolbhog,Uttara
